,,num_barcodes,num_barcodes,num_barcodes,num_barcodes,num_barcodes,num_barcodes,num_barcodes,num_barcodes,max_length,max_length,max_length,max_length,max_length,max_length,max_length,max_length,mean_length,mean_length,mean_length,mean_length,mean_length,mean_length,mean_length,mean_length,persistent_entropy,persistent_entropy,persistent_entropy,persistent_entropy,persistent_entropy,persistent_entropy,persistent_entropy,persistent_entropy,max_birth,max_birth,max_birth,max_birth,max_birth,max_birth,max_birth,max_birth,mean_death,mean_death,mean_death,mean_death,mean_death,mean_death,mean_death,mean_death
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,0,53.0,27.566037735849058,9.493944292511825,7.0,20.0,29.0,32.0,54.0,53.0,1.5705722367988442,0.11106553588046894,1.3459702730178833,1.5000666379928589,1.530392050743103,1.6711074113845825,1.7854528427124023,53.0,1.2655919554340975,0.04309656451429161,1.135105916431972,1.2441816814243793,1.260999732547336,1.2787355554514919,1.5053803126017253,53.0,3.2395483301903574,0.3897889542315591,1.9371629085956101,2.988725402599,3.3529362553359063,3.456356792543603,3.979090980269222,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1.2655919554340975,0.04309656451429161,1.135105916431972,1.2441816814243793,1.260999732547336,1.2787355554514919,1.5053803126017253
I,1,52.0,4.3076923076923075,2.2538721499177727,1.0,2.75,4.0,5.25,12.0,52.0,1.028388268672503,0.08438891854666583,0.7310118675231934,1.01394921541214,1.0211413502693176,1.029874473810196,1.4867743253707886,52.0,0.6555989228816697,0.17671600176916405,0.34419333934783936,0.5189068883657455,0.6091122428576152,0.8017212867736816,1.0212408304214478,52.0,1.1342144452163962,0.5329637701013694,0.0,0.6870824949080336,1.1907748470556694,1.5577119258189775,2.3160366541601687,52.0,2.274242203969222,0.4126901306148326,1.4066271781921387,2.201249063014984,2.381501078605652,2.5599188804626465,3.0224990844726562,52.0,2.511879111333353,0.1073847337972719,2.2629716396331787,2.453571230173111,2.5236853659152985,2.578937651713689,2.861312747001648
I,2,51.0,1.9019607843137254,1.2370109451542342,1.0,1.0,2.0,2.0,7.0,51.0,0.3277631740944058,0.03747918228596859,0.21179533004760742,0.3195476531982422,0.34347033500671387,0.3507729768753052,0.3674736022949219,51.0,0.2967696759547172,0.06184654879983243,0.13112401962280273,0.2616433064142863,0.31976771354675293,0.34703361988067627,0.3658888339996338,51.0,0.4344835257968046,0.488914678941222,0.0,0.0,0.38083305510682064,0.693080882750686,1.848086981715892,51.0,2.5278145565706143,0.14843268238907714,2.4116592407226562,2.436872959136963,2.449591875076294,2.5585598945617676,2.971834421157837,51.0,2.777934128407782,0.037609807981412016,2.6774802207946777,2.7731288075447083,2.781397581100464,2.7897489070892334,2.895941734313965
II,0,26.0,43.76923076923077,13.228175058737898,19.0,35.5,42.0,50.5,87.0,26.0,1.633723272727086,0.11543510493704408,1.493552803993225,1.5440435111522675,1.559181272983551,1.747250735759735,1.8415755033493042,26.0,1.26954142060853,0.015759278093151214,1.2359040191299038,1.2602553542887978,1.268486423051454,1.278518536717308,1.3048269656988292,26.0,3.7251469854921555,0.29978106821286366,2.935063422946065,3.5588633303041677,3.727939221615553,3.9092980755147417,4.453570129809332,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.26954142060853,0.015759278093151214,1.2359040191299038,1.2602553542887978,1.268486423051454,1.278518536717308,1.3048269656988292
II,1,26.0,7.6923076923076925,2.8812390497038707,2.0,6.0,7.5,10.0,14.0,26.0,0.9970052333978506,0.11260522399556587,0.5727248191833496,1.0091053247451782,1.0214533805847168,1.0300653576850891,1.1699291467666626,26.0,0.5694904063098345,0.09709570047423682,0.4092934727668762,0.5029448121786118,0.5418355345726014,0.6570371687412262,0.7516450881958008,26.0,1.7528273941166157,0.41805422956828603,0.6339659875287781,1.506203088934909,1.8133648685610313,2.057493842818422,2.4178759328701807,26.0,2.6351162745402408,0.2701541553886097,2.1169090270996094,2.4518169164657593,2.5968472957611084,2.80257511138916,3.243393898010254,26.0,2.588961772838514,0.07962607555043855,2.4043393611907957,2.533241317953382,2.5937266979898723,2.6272023538748424,2.7740103960037232
II,2,24.0,3.2083333333333335,1.5597983890531346,1.0,2.0,3.0,4.0,6.0,24.0,0.31858862439791363,0.05099004804362363,0.20657682418823242,0.3046913146972656,0.3314021825790405,0.3525565266609192,0.3930983543395996,24.0,0.24728944632742142,0.06704434521432572,0.09847873449325562,0.20354841152826944,0.24731969237327575,0.29388946294784546,0.35324907302856445,24.0,0.9078946009846992,0.4567708461991789,0.0,0.6916744247245514,0.9525134634040022,1.2648162257303903,1.5147618002809164,24.0,2.7241636415322623,0.33174837715712685,2.432159423828125,2.4916348457336426,2.6975150108337402,2.8306878805160522,4.089278221130371,24.0,2.8183194506499505,0.09077873686830897,2.6600375175476074,2.775352418422699,2.79999178647995,2.8236686984697976,3.074084520339966
III,0,50.0,45.14,15.975759698968425,24.0,32.0,42.0,51.75,97.0,50.0,1.7049179148674012,0.1269700324710366,1.5314699411392212,1.5821411311626434,1.7274216413497925,1.7817962765693665,2.1592822074890137,50.0,1.2820295058178652,0.024673141271597566,1.2451487593352795,1.2688166182339586,1.2770956646577984,1.2883752790330245,1.3649714865854807,50.0,3.7424777704800802,0.33095107383953776,3.1630695228060715,3.456248283488736,3.726344876881905,3.936307866073557,4.563059413573922,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.2820295058178652,0.024673141271597566,1.2451487593352795,1.2688166182339586,1.2770956646577984,1.2883752790330245,1.3649714865854807
III,1,50.0,8.34,4.465788318552779,2.0,5.0,7.0,10.0,18.0,50.0,1.0194042348861694,0.08480726240952169,0.712915301322937,1.0113400220870972,1.019915521144867,1.0279501080513,1.3516875505447388,50.0,0.5531951991682363,0.10853930635577638,0.37885843004499165,0.4795123815536499,0.5449344664812088,0.6015965218345324,0.9244453012943268,50.0,1.7300073663250486,0.5803199069361383,0.024241028945965082,1.3710982735658006,1.707312235165264,2.1301209697129,2.701790600827132,50.0,2.7153801107406617,0.3868326468104089,2.1595139503479004,2.519741117954254,2.663761258125305,2.7648640871047974,4.321238040924072,50.0,2.600797551947153,0.08908423840169308,2.299054980278015,2.5471426844596863,2.590963217947218,2.649186583028899,2.87674617767334
