TrueValues,PredictedValues
321,314.322434301678
223.15,314.192373434664
342,313.333724272292
251.15,314.382374154258
294,314.131144311602
283,317.540028148507
310,314.582099963902
297,314.318341189483
299,311.586012447978
333,313.909908301337
278,316.409926050454
309,315.673939424838
363,314.405463193672
345,317.055973642324
336,314.812384634018
295,314.765179559344
263,277.260241480488
242,281.778385370605
346,316.847754097906
323,317.125017655312
290,320.233060851424
270,289.505219320149
356,350.746709889781
368,366.460353864975
275,278.014345026821
277,333.098991274757
334.15,352.211264550498
315,368.680545238211
331,341.631414740754
304,304.35278074487
289.15,286.697135606329
311,285.520469064069
379,389.62920538895
407,344.509589059759
280,277.819886561617
308,299.348662876325
269,246.177076755404
303,306.597940287187
365,353.901352429635
405,386.720403342709
318,279.586537436005
331,327.138392938225
352,337.551536655073
319,331.31857834456
355,340.920158012115
316,351.368675525093
337,304.965977811078
302,308.342232433969
344,349.032244080235
358,354.596226233635
338,316.628781528637
323,346.039955093437
297,302.08118911024
318,293.960340013936
301,291.327258751855
290.15,288.230286428276
351,339.27138884781
299,286.132793306365
267,308.932418542801
275.25,283.598774812583
375,369.942597568595
337,336.628873045422
336,352.152200818168
335,336.019061555243
362.15,273.939612490513
383,345.33251769112
359,360.768222921923
373,333.96162941187
264,287.079260275002
228,274.320532891242
318,323.467695379555
323.15,329.717009968694
316,317.07065255324
318,348.077517545669
270,285.225811961527
234.15,274.138929747164
373,380.214573876729
324,286.309998744194
382,383.572975331014
274,288.495328119336
310,296.386838103961
270,282.103930861798
397,345.001018114712
328,274.955684056118
318,312.236395057049
306,352.103947850724
294,347.480294788911
286,277.839554290229
324,354.254883637992
228,270.350368938662
310,273.36033426295
275,273.693929612444
336,315.652021121179
293,298.209878320137
327,318.004494327038
287,300.199474037001
376,357.900762940606
366,362.842762561521
345,368.97255786279
300,286.178435930169
245,275.525241322982
293,282.19636669258
235,275.996547809504
309,342.731434045685
406,392.107193351695
364,372.353762679726
368,339.831634007305
328,335.595567316865
289,285.418951702502
252,271.504479113356
348,333.784917244157
263,280.023866568151
416,385.073767924159
315,341.276264342883
367,348.596014700878
266,288.721285673006
291,301.335157598332
277.15,282.892859612572
336,324.393289964089
324,304.207890073705
236,280.204218068818
341,325.993867372879
322,323.737100202686
284,293.201163435381
347,363.49539392141
390.35,376.785819110047
367.95,382.39674668163
305.35,308.892745589486
382.45,356.979742514813
308.45,312.261417413365
330.05,325.362183505645
380.95,356.349537943711
314.85,333.873301376405
287.95,272.079417023898
309.25,320.245487527286
281.75,291.689435818306
