TrueValues,PredictedValues
321,317.342254658941
223.15,306.171439602399
342,311.427408706099
251.15,278.025501020393
294,289.659797185207
283,280.621977342896
310,309.164153699129
297,280.872630035033
299,277.662915239973
333,359.624271322376
278,269.485980535629
309,304.299029610749
363,379.729372566448
345,348.143369727314
336,340.157479501351
295,294.742657738403
263,252.478507885484
242,253.012703867242
346,370.172050769839
323,320.409403344723
290,288.44360203291
270,262.232072616045
356,354.580772400852
368,369.426778729565
275,271.067628064671
277,279.092355269046
334.15,333.9485056161
315,313.272547939371
331,330.639347445007
304,306.189204596787
289.15,288.844043712488
311,308.252773858739
379,381.51541413656
407,382.631732364826
280,277.821574587379
308,307.512574994907
269,254.782422723755
303,301.826211243933
365,366.227993306322
405,381.966920436954
318,318.718546813974
331,332.208098817276
352,350.871717200305
319,319.425239727858
355,351.535467399644
316,316.020815770506
337,339.121782285262
302,301.607039077228
344,349.012945619179
358,361.570119763934
338,349.797056517986
323,322.463360396779
297,292.894583466869
318,319.358218296205
301,301.911264236551
290.15,290.396127662717
351,350.681351801506
299,277.460790415255
267,256.917023820734
275.25,273.039653643969
375,385.212111409264
337,336.516505961741
336,335.998868834064
335,339.546522233803
362.15,360.945017750038
383,388.948839859329
359,360.826653013516
373,374.793453469904
264,260.825199558894
228,244.1717414514
318,317.30586667769
323.15,324.24689874763
316,314.699802013537
318,317.733949161972
270,269.598380391033
234.15,240.750858597278
373,380.142076379394
324,324.350878150659
382,387.101123321619
274,273.007811551798
310,310.918092510546
270,269.095950325934
397,383.048127388799
328,328.268498525552
318,318.394030664732
306,306.47708369169
294,294.914799503952
286,285.776944032105
324,324.125543174044
228,242.185696955201
310,310.750958374842
275,273.384341567226
336,336.259548462426
293,292.003393437261
327,327.303201538373
287,285.252255440803
376,388.530702516213
366,374.599325518258
345,343.787815918516
300,300.114395146136
245,244.556400486893
293,293.780882129022
235,242.643637557594
309,309.15476528656
406,387.624461470571
364,363.362430154341
368,389.264965956857
328,327.985627770238
289,288.933016924338
252,242.336730960681
348,346.605017894394
263,262.565666320074
416,387.383722900213
315,314.524800100021
367,368.433314988507
266,265.783770390772
291,291.368930174065
277.15,276.852041605933
336,336.179051796791
324,324.166653921436
236,240.257405461449
341,341.003131812558
322,321.643385347623
284,284.584998400471
347,347.099616835364
390.35,391.340157994438
367.95,368.144611886615
305.35,304.668512689093
382.45,391.364884973448
308.45,308.540171846923
330.05,330.667902622933
380.95,390.913378352388
314.85,314.792245267349
287.95,287.941531011844
309.25,308.914630795431
281.75,282.073167406675
