TrueValues,PredictedValues
321,328.47075528563
223.15,322.824477121945
342,307.299018783768
251.15,318.003891262214
294,308.004348444954
283,318.097893652988
310,312.921691155693
297,303.510284987012
299,293.368928144691
333,339.213308005144
278,295.980750749398
309,316.474436492618
363,362.15075397482
345,342.404581345526
336,336.814422053595
295,294.92213198801
263,265.968413284061
242,242.026566573208
346,345.539212498818
323,311.548173901309
290,290.550414628826
270,277.846892046268
356,353.832995001995
368,358.345134825162
275,269.162947201766
277,275.78568437955
334.15,335.835846000994
315,315.876301614292
331,310.032702067509
304,305.594739517942
289.15,309.180376978378
311,313.118559512813
379,378.378205222541
407,407.476781647726
280,301.071890290857
308,306.310191364624
269,270.149301787949
303,309.58174286203
365,367.717253052305
405,406.77564747223
318,317.690663949891
331,311.223062097601
352,350.971646672893
319,309.298177134732
355,355.597664325447
316,314.221935500778
337,339.217316391156
302,314.00235275032
344,344.081377473397
358,350.037925301604
338,340.269083804894
323,299.70306130131
297,298.322796449824
318,308.624810460144
301,311.564563782147
290.15,293.071702241284
351,351.272876599026
299,302.856259240802
267,244.264174333326
275.25,271.080885147577
375,374.327636930593
337,339.710762831204
336,314.299379052701
335,323.262344086937
362.15,365.069686295041
383,386.517164749756
359,360.627959801884
373,371.18954617451
264,261.632487391126
228,228.58378241619
318,319.111994754203
323.15,324.363301680124
316,315.028504229911
318,321.622641033854
270,268.805597425326
234.15,235.77966544452
373,373.136884547861
324,330.366948954487
382,379.703041144158
274,273.608826889279
310,309.216326042805
270,276.88631172068
397,391.592286793145
328,330.941776236192
318,318.562434745864
306,308.49441634928
294,297.62830163947
286,286.778301269197
324,325.870204574108
228,228.798389441802
310,308.767980066113
275,306.068675079956
336,334.742790949479
293,300.634963515906
327,328.609725805799
287,286.800436306371
376,366.501730832183
366,366.331537487951
345,346.715914000879
300,309.375776826003
245,258.167562715548
293,290.710199464884
235,241.54974981532
309,308.372526461519
406,396.903025191913
364,364.843725122793
368,369.963723946362
328,329.544749095291
289,291.382308872406
252,251.763321041151
348,350.785885413594
263,262.210997326302
416,415.00914873037
315,305.3940744068
367,367.045843544216
266,291.326779213853
291,287.12677000807
277.15,277.512038093431
336,337.370235047765
324,323.344002723643
236,228.006492794828
341,312.697411464262
322,320.288076953733
284,283.548863507024
347,348.588566638615
390.35,390.615491146648
367.95,366.509815308639
305.35,305.460384043079
382.45,384.177214318072
308.45,308.142463888172
330.05,329.000171402832
380.95,380.472416828625
314.85,315.149414832768
287.95,286.761731015616
309.25,314.506770711228
281.75,281.522475836018
